 -780.0   254.49     2.08
 -779.9   254.52     1.93
 -779.8   254.55     1.78
 -779.7   254.58     1.63
 -779.6   254.62     1.48
 -779.5   254.65     1.33
 -779.4   254.68     1.18
 -779.3   254.74     0.99
 -779.2   254.82     0.78
 -779.1   254.90     0.57
 -779.0   254.76     0.49
 -778.9   254.46     0.52
 -778.8   254.16     0.54
 -778.7   253.86     0.56
 -778.6   253.56     0.59
 -778.5   253.26     0.61
 -778.4   252.96     0.63
 -778.3   252.66     0.65
 -778.2   252.15     0.75
 -778.1   251.22     0.99
 -778.0   250.28     1.24
 -777.9   249.34     1.48
 -777.8   248.41     1.72
 -777.7   247.47     1.97
 -777.6   247.45     1.88
 -777.5   247.63     1.73
 -777.4   247.81     1.58
 -777.3   247.99     1.42
 -777.2   248.17     1.27
 -777.1   248.35     1.12
 -777.0   248.53     0.96
 -776.9   248.71     0.81
 -776.8   248.89     0.66
 -776.7   248.26     0.58
 -776.6   247.46     0.52
 -776.5   246.66     0.46
 -776.4   245.86     0.40
 -776.3   245.17     0.38
 -776.2   244.72     0.44
 -776.1   244.27     0.51
 -776.0   243.82     0.57
 -775.9   243.37     0.64
 -775.8   242.92     0.70
 -775.7   242.47     0.77
 -775.6   242.02     0.83
 -775.5   241.52     0.96
 -775.4   240.94     1.20
 -775.3   240.36     1.44
 -775.2   239.79     1.68
 -775.1   239.21     1.92
 -775.0   238.63     2.16
 -774.9   238.44     2.18
 -774.8   238.54     2.04
 -774.7   238.63     1.90
 -774.6   238.72     1.77
 -774.5   238.81     1.63
 -774.4   238.90     1.49
 -774.3   239.00     1.35
 -774.2   239.09     1.21
 -774.1   239.18     1.08
 -774.0   239.05     1.06
 -773.9   238.65     1.20
 -773.8   238.25     1.35
 -773.7   237.84     1.49
 -773.6   239.38     1.69
 -773.5   241.28     1.91
 -773.4   243.18     2.13
 -773.3   245.08     2.34
 -773.2   245.60     2.38
 -773.1   244.75     2.24
 -773.0   243.89     2.10
 -772.9   244.83     2.12
 -772.8   245.85     2.15
 -772.7   246.12     2.02
 -772.6   245.13     1.61
 -772.5   244.14     1.20
 -772.4   242.85     1.29
 -772.3   241.45     1.55
 -772.2   240.06     1.81
 -772.1   238.57     1.82
 -772.0   237.07     1.74
 -771.9   235.56     1.67
 -771.8   234.33     1.61
 -771.7   235.04     1.62
 -771.6   235.75     1.63
 -771.5   236.06     1.65
 -771.4   234.70     1.68
 -771.3   233.35     1.71
 -771.2   231.99     1.74
 -771.1   230.64     1.77
 -771.0   229.61     1.82
 -770.9   229.87     1.89
 -770.8   230.12     1.96
 -770.7   230.37     2.04
 -770.6   230.63     2.11
 -770.5   230.13     1.99
 -770.4   229.63     1.87
 -770.3   229.13     1.74
 -770.2   228.63     1.62
 -770.1   228.12     1.50
 -770.0   227.62     1.38
 -769.9   227.12     1.25
 -769.8   226.62     1.13
 -769.7   226.11     1.01
 -769.6   225.50     0.90
 -769.5   224.78     0.81
 -769.4   224.07     0.72
 -769.3   223.35     0.63
 -769.2   222.63     0.54
 -769.1   221.92     0.45
 -769.0   221.78     0.42
 -768.9   222.01     0.43
 -768.8   222.24     0.44
 -768.7   222.47     0.45
 -768.6   222.71     0.46
 -768.5   222.94     0.47
 -768.4   223.17     0.48
 -768.3   223.40     0.49
 -768.2   223.63     0.50
 -768.1   223.87     0.56
 -768.0   224.15     0.84
 -767.9   224.43     1.13
 -767.8   224.71     1.41
 -767.7   225.15     1.53
 -767.6   225.76     1.45
 -767.5   226.38     1.38
 -767.4   226.99     1.31
 -767.3   227.61     1.24
 -767.2   228.22     1.17
 -767.1   228.83     1.10
 -767.0   229.45     1.03
 -766.9   230.06     0.96
 -766.8   230.64     0.90
 -766.7   230.88     0.98
 -766.6   231.13     1.05
 -766.5   231.37     1.13
 -766.4   231.61     1.21
 -766.3   231.85     1.29
 -766.2   232.09     1.37
 -766.1   231.41     1.72
 -766.0   230.60     2.10
 -765.9   229.80     2.48
 -765.8   230.24     2.74
 -765.7   231.84     2.89
 -765.6   233.45     3.03
 -765.5   231.36     2.59
 -765.4   228.71     2.07
 -765.3   226.06     1.54
 -765.2   223.41     1.02
 -765.1   223.09     1.10
 -765.0   223.28     1.33
 -764.9   223.47     1.56
 -764.8   223.66     1.78
 -764.7   223.85     2.01
 -764.6   223.56     1.90
 -764.5   223.12     1.70
 -764.4   222.69     1.50
 -764.3   222.25     1.30
 -764.2   221.82     1.10
 -764.1   221.38     0.90
 -764.0   220.95     0.69
 -763.9   220.51     0.49
 -763.8   220.08     0.29
 -763.7   219.32     0.40
 -763.6   218.43     0.65
 -763.5   217.54     0.89
 -763.4   216.65     1.13
 -763.3   215.76     1.38
 -763.2   214.87     1.62
 -763.1   214.00     1.86
 -763.0   214.08     1.78
 -762.9   214.15     1.70
 -762.8   214.22     1.62
 -762.7   214.30     1.54
 -762.6   214.37     1.46
 -762.5   214.44     1.38
 -762.4   214.52     1.31
 -762.3   214.59     1.23
 -762.2   214.66     1.15
 -762.1   215.12     1.04
 -762.0   215.76     0.92
 -761.9   216.41     0.79
 -761.8   217.06     0.78
 -761.7   217.72     0.84
 -761.6   218.38     0.89
 -761.5   219.03     0.94
 -761.4   219.69     0.99
