C: Wang et al. stack probabilistic analysis Med RSL chronology (ky)
D: Wang et al. stack probabilistic analysis Med RSL MEDIAN (m; shifted so mean of last three ky =0)
E: Wang et al. stack probabilistic analysis Med RSL upper bound 95% probability interval for the median (~equivalent to 2se)
F: Wang et al. stack probabilistic analysis Med RSL lower bound 95% probability interval for the median (~equivalent to 2se)

t Wang Med RSL	MEDIAN	MEDIAN_t95%	 MEDIAN_b95%
857	1.03975	7.23575	-5.15625
858	-0.56325	5.66075	-6.78725
859	-1.61825	4.63475	-7.87025
860	-2.42025	3.86875	-8.71025
861	-3.80025	2.52275	-10.12225
862	-7.11125	-0.78725	-13.43525
863	-9.78825	-3.51825	-16.05825
864	-17.90625	-11.58425	-24.22925
865	-27.83825	-21.53025	-34.14625
866	-38.04825	-31.76825	-44.32825
867	-51.00825	-44.68725	-57.32825
868	-66.37625	-59.95525	-72.79825
869	-77.04325	-70.72025	-83.36525
870	-85.52925	-79.26125	-91.79725
871	-91.85525	-85.63725	-98.07325
872	-94.84025	-88.57925	-101.10125
873	-94.98325	-88.68925	-101.27725
874	-91.87025	-85.57225	-98.16925
875	-83.20825	-76.96325	-89.45225
876	-74.10625	-67.87525	-80.33825
877	-65.32225	-59.11325	-71.53125
878	-58.75225	-52.54525	-64.95925
879	-57.76525	-51.55925	-63.97125
880	-60.07625	-53.86325	-66.28825
881	-60.58625	-54.42325	-66.74925
882	-64.19625	-58.05725	-70.33425
883	-66.03525	-59.85625	-72.21325
884	-67.06225	-60.87925	-73.24625
885	-67.65925	-61.45425	-73.86425
886	-72.10925	-65.92625	-78.29325
887	-77.75025	-71.54325	-83.95625
888	-80.53625	-74.35425	-86.71825
889	-83.36625	-77.16225	-89.57025
890	-85.46625	-79.27125	-91.66225
891	-83.40725	-77.21725	-89.59725
892	-81.52425	-75.29625	-87.75225
893	-78.82625	-72.60725	-85.04425
894	-77.35325	-71.13925	-83.56725
895	-75.69525	-69.50325	-81.88725
896	-79.58825	-73.33625	-85.84025
897	-79.17425	-72.95325	-85.39625
898	-76.51625	-70.25425	-82.77725
899	-68.30825	-62.07825	-74.53825
900	-57.82925	-51.56525	-64.09325
901	-47.69525	-41.50225	-53.88825
902	-40.47525	-34.26825	-46.68125
903	-33.53825	-27.31825	-39.75925
904	-28.23025	-21.97625	-34.48425
905	-23.01725	-16.82325	-29.21125
906	-24.12325	-17.89425	-30.35225
907	-27.26725	-21.06325	-33.47125
908	-36.30725	-30.02525	-42.59025
909	-43.84325	-37.58025	-50.10725
910	-49.48925	-43.25825	-55.71925
911	-52.86225	-46.60925	-59.11525
912	-54.36825	-48.21325	-60.52325
913	-57.56125	-51.37625	-63.74625
914	-58.75725	-52.61025	-64.90425
915	-59.49925	-53.30925	-65.68925
916	-57.96525	-51.77625	-64.15425
917	-56.65525	-50.50325	-62.80725
918	-56.82625	-50.68525	-62.96725
919	-55.25725	-49.07725	-61.43625
920	-57.47425	-51.25525	-63.69325
921	-57.79325	-51.60525	-63.98125
922	-55.93725	-49.75225	-62.12225
923	-52.50025	-46.33925	-58.66225
924	-50.68425	-44.49325	-56.87525
925	-45.59625	-39.39725	-51.79625
926	-41.71325	-35.54525	-47.88225
927	-40.19125	-33.98525	-46.39825
928	-36.03125	-29.79825	-42.26425
929	-30.01825	-23.81325	-36.22325
930	-24.11825	-17.91425	-30.32325
931	-21.27325	-15.05925	-27.48625
932	-19.79125	-13.59025	-25.99225
933	-19.19225	-13.02025	-25.36325
934	-19.06925	-12.90925	-25.23025
935	-18.71525	-12.54225	-24.88925
936	-17.41825	-11.22725	-23.60925
937	-14.12125	-7.92625	-20.31525
938	-8.05625	-1.89025	-14.22125
939	-4.95425	1.23975	-11.14825
940	-2.70225	3.45775	-8.86125
941	-3.52925	2.66775	-9.72625
942	-4.30325	1.86075	-10.46725
943	-6.12625	0.02575	-12.27825
944	-6.09825	0.05075	-12.24625
945	-6.78025	-0.58825	-12.97225
946	-5.58725	0.59775	-11.77325
947	-1.34525	4.80475	-7.49625
948	2.04575	8.19775	-4.10625
949	4.17375	10.38075	-2.03325
950	4.85675	11.05575	-1.34125
951	5.18175	11.33175	-0.96825
952	5.04075	11.16475	-1.08425
953	4.90675	11.01075	-1.19725
954	3.89375	10.01375	-2.22525
955	3.74675	9.86775	-2.37325
956	3.53875	9.68075	-2.60425
957	2.41675	8.58375	-3.75025
958	0.00375	6.22975	-6.22225
959	-2.79525	3.43575	-9.02625
960	-10.43525	-4.17525	-16.69525
961	-18.91525	-12.67325	-25.15825
962	-27.46425	-21.23925	-33.68825
963	-34.79425	-28.53025	-41.05825
964	-36.10225	-29.93125	-42.27425
965	-36.04225	-29.83125	-42.25225
966	-33.47725	-27.25525	-39.69825
967	-26.41925	-20.20025	-32.63925
968	-20.45325	-14.14325	-26.76325
969	-12.31625	-6.03525	-18.59625
970	-1.54625	4.75875	-7.85225
971	9.16675	15.39775	2.93575
972	14.28975	20.53075	8.04975
973	17.17975	23.34275	11.01675
974	13.96675	20.14375	7.78875
975	6.14075	12.33375	-0.051877
976	-2.35025	3.81275	-8.51225
977	-11.74325	-5.57025	-17.91725
978	-20.37125	-14.18525	-26.55725
979	-28.82225	-22.60625	-35.03725
980	-34.71525	-28.51525	-40.91525
981	-41.06825	-34.85425	-47.28225
982	-41.96125	-35.75025	-48.17225
983	-36.72625	-30.43325	-43.02025
984	-29.88525	-23.67625	-36.09425
985	-22.06725	-15.80325	-28.33025
986	-17.25025	-11.08025	-23.42025
987	-12.43125	-6.24325	-18.61825
988	-6.97925	-0.81725	-13.14125
989	-6.12425	0.03675	-12.28525
990	-4.65225	1.50875	-10.81325
991	-5.77825	0.39175	-11.94825
992	-4.09125	2.08675	-10.26825
993	-3.50325	2.69175	-9.69825
994	-3.04225	3.16675	-9.25025
995	-5.50025	0.74775	-11.74825
996	-8.96025	-2.77925	-15.14125
997	-13.18325	-7.02825	-19.33725
998	-16.81625	-10.65525	-22.97725
999	-22.04025	-15.87025	-28.21025
1000	-26.35625	-20.18825	-32.52525
1001	-29.88525	-23.70625	-36.06425
1002	-31.44425	-25.26025	-37.62725
1003	-31.53825	-25.36525	-37.71225
1004	-29.81525	-23.57725	-36.05225
1005	-25.59525	-19.43525	-31.75425
1006	-24.89025	-18.72625	-31.05325
1007	-31.26925	-25.10525	-37.43225
1008	-35.55925	-29.35425	-41.76425
1009	-35.88625	-29.66425	-42.10825
1010	-36.07225	-29.82325	-42.32125
1011	-26.77025	-20.53425	-33.00625
1012	-18.68125	-12.45125	-24.91225
1013	-11.42525	-5.25525	-17.59625
1014	-9.61625	-3.40925	-15.82325
1015	-9.80725	-3.63425	-15.97925
1016	-13.90025	-7.67825	-20.12225
1017	-15.94425	-9.74225	-22.14625
1018	-14.53225	-8.27925	-20.78525
1019	-10.46725	-4.22525	-16.71025
1020	-5.79125	0.53375	-12.11725
1021	0.46975	6.68075	-5.74125
1022	4.71675	10.91875	-1.48425
1023	8.52475	14.69375	2.35575
1024	8.43975	14.60975	2.26975
1025	6.17275	12.31175	0.03475
1026	1.04675	7.19575	-5.10125
1027	-4.67225	1.47675	-10.82025
1028	-10.63525	-4.48225	-16.78825
1029	-16.32425	-10.15125	-22.49725
1030	-18.70725	-12.58425	-24.83025
1031	-20.85325	-14.70425	-27.00225
1032	-23.50225	-17.30225	-29.70225
1033	-23.61425	-17.46825	-29.75925
1034	-24.16425	-17.97625	-30.35125
1035	-22.60425	-16.42425	-28.78425
1036	-22.49225	-16.33825	-28.64625
1037	-21.04725	-14.88625	-27.20725
1038	-18.82025	-12.66025	-24.98025
1039	-18.36325	-12.22725	-24.49925
1040	-18.97725	-12.79425	-25.16125
1041	-18.01725	-11.82825	-24.20625
1042	-14.17525	-8.01725	-20.33225
1043	-16.22825	-10.04525	-22.41225
1044	-15.63725	-9.44025	-21.83525
1045	-14.88725	-8.72725	-21.04825
1046	-18.35625	-12.17825	-24.53325
1047	-21.86825	-15.70225	-28.03425
1048	-25.91225	-19.75525	-32.07025
1049	-31.06025	-24.89825	-37.22125
1050	-35.53425	-29.34525	-41.72325
1051	-38.37625	-32.18225	-44.56925
1052	-37.82625	-31.61525	-44.03625
1053	-32.39025	-26.21925	-38.56025
1054	-28.34625	-22.14225	-34.55125
1055	-23.05425	-16.79725	-29.31025
1056	-16.69625	-10.50425	-22.88825
1057	-12.05725	-5.90325	-18.21025
1058	-11.27125	-5.09425	-17.44925
1059	-8.83325	-2.65725	-15.01025
1060	-8.18125	-2.03025	-14.33325
1061	-5.26625	0.88775	-11.41925
1062	-2.16025	4.04875	-8.37025
1063	1.88275	8.05975	-4.29525
1064	3.47675	9.66375	-2.71125
1065	4.45375	10.63875	-1.73025
1066	4.69375	10.87975	-1.49225
1067	4.29075	10.44675	-1.86425
1068	3.79275	9.95175	-2.36525
1069	3.75775	9.88175	-2.36625
1070	3.50875	9.63575	-2.61725
1071	3.38475	9.52675	-2.75625
1072	2.93875	9.08575	-3.20925
1073	3.46375	9.60775	-2.68025
1074	3.06075	9.22875	-3.10625
1075	2.66775	8.85575	-3.51925
1076	0.14175	6.34975	-6.06525
1077	-2.15225	4.04875	-8.35325
1078	-5.83525	0.36775	-12.03725
1079	-10.78325	-4.60625	-16.96125
1080	-15.67125	-9.51625	-21.82525
1081	-19.62025	-13.40225	-25.83825
1082	-24.13225	-17.92825	-30.33625
1083	-22.56225	-16.41525	-28.71025
1084	-19.75625	-13.54225	-25.96925
1085	-15.80325	-9.59625	-22.00925
1086	-12.12425	-5.93725	-18.31225
1087	-8.82825	-2.61925	-15.03725
1088	-8.04625	-1.87225	-14.22025
1089	-11.88425	-5.70825	-18.05925
1090	-16.88325	-10.69725	-23.06925
1091	-21.72125	-15.53725	-27.90525
1092	-27.32425	-21.10025	-33.54725
1093	-30.86725	-24.63425	-37.09925
1094	-29.02025	-22.80525	-35.23625
1095	-26.19125	-20.00825	-32.37425
1096	-24.30025	-18.11625	-30.48425
1097	-27.05125	-20.84325	-33.25925
1098	-30.94325	-24.72225	-37.16325
1099	-35.52725	-29.23625	-41.81825
1100	-35.71925	-29.42525	-42.01325
1101	-27.13525	-20.86925	-33.40125
1102	-16.88125	-10.64925	-23.11225
1103	-11.95025	-5.76725	-18.13325
1104	-8.94925	-2.78325	-15.11625
1105	-8.19525	-2.04225	-14.34825
1106	-11.69125	-5.50925	-17.87225
1107	-15.40425	-9.19025	-21.61825
1108	-17.05525	-10.84825	-23.26225
1109	-15.59325	-9.34025	-21.84625
1110	-10.79925	-4.57325	-17.02525
1111	-5.82225	0.36175	-12.00525
1112	-0.00325	6.19475	-6.20025
1113	5.66975	11.88575	-0.54525
1114	9.75175	15.95975	3.54275
1115	9.21975	15.43975	2.99875
1116	-0.30425	5.99975	-6.60925
1117	-10.58725	-4.29025	-16.88425
1118	-25.28525	-18.89725	-31.67225
1119	-34.47825	-28.20725	-40.74925
1120	-38.20325	-31.95525	-44.45025
1121	-35.01325	-28.75825	-41.26725
1122	-29.03125	-22.81225	-35.25125
1123	-21.22825	-15.00625	-27.44925
1124	-18.81225	-12.66125	-24.96325
1125	-17.12425	-10.92025	-23.32825
1126	-16.73625	-10.55925	-22.91325
1127	-18.37325	-12.17525	-24.57225
1128	-21.61425	-15.39525	-27.83325
1129	-29.78325	-23.54525	-36.02125
1130	-32.76325	-26.56825	-38.95725
1131	-37.31525	-31.14025	-43.49125
1132	-35.80525	-29.59025	-42.02025
1133	-31.66425	-25.44625	-37.88325
1134	-25.02125	-18.83825	-31.20425
1135	-22.25225	-16.07325	-28.43225
1136	-24.01125	-17.83925	-30.18325
1137	-25.34625	-19.18225	-31.51025
1138	-26.49225	-20.33025	-32.65425
1139	-25.89825	-19.74925	-32.04725
1140	-21.90925	-15.66325	-28.15425
1141	-14.38325	-8.14025	-20.62725
1142	-8.10525	-1.84425	-14.36625
1143	-6.74125	-0.53125	-12.95025
1144	-10.55225	-4.30125	-16.80325
1145	-15.08025	-8.81725	-21.34325
1146	-19.01725	-12.83725	-25.19825
1147	-16.88025	-10.69125	-23.06925
1148	-15.79125	-9.54825	-22.03325
1149	-16.81125	-10.62925	-22.99325
1150	-16.78325	-10.61225	-22.95425
1151	-16.79325	-10.63925	-22.94825
1152	-17.56325	-11.37525	-23.75225
1153	-15.14025	-8.93625	-21.34425
1154	-13.44925	-7.25925	-19.64025
1155	-11.76525	-5.58025	-17.95025
1156	-10.83525	-4.68725	-16.98425
1157	-7.53225	-1.36825	-13.69625
1158	-4.71325	1.45675	-10.88425
1159	-2.31125	3.82375	-8.44525
1160	0.18175	6.33775	-5.97525
1161	1.63875	7.77075	-4.49425
1162	2.98375	9.11275	-3.14625
1163	5.19175	11.33875	-0.95525
1164	7.95375	14.09775	1.80975
1165	10.97575	17.15875	4.79275
1166	13.38075	19.55275	7.20775
1167	14.39375	20.56375	8.22375
1168	15.77475	21.91375	9.63675
1169	14.75875	20.90475	8.61375
1170	16.50775	22.63775	10.37775
1171	17.27375	23.42175	11.12475
1172	16.47375	22.62875	10.31975
1173	15.78175	21.92575	9.63775
1174	12.37175	18.55975	6.18275
1175	8.79975	14.96375	2.63675
1176	4.14875	10.35275	-2.05525
1177	3.64375	9.80475	-2.51725
1178	5.85675	12.04075	-0.32825
1179	8.87875	15.05575	2.70075
1180	12.18775	18.37075	6.00475
1181	15.06975	21.23875	8.90075
1182	14.72875	20.89975	8.55675
1183	12.50475	18.65575	6.35275
1184	7.17175	13.30975	1.03375
1185	0.31175	6.47775	-5.85325
1186	-5.71525	0.42375	-11.85425
1187	-10.76025	-4.59825	-16.92325
1188	-14.23625	-8.06025	-20.41225
1189	-16.37225	-10.23125	-22.51425
1190	-19.05025	-12.89425	-25.20625
1191	-20.96925	-14.78025	-27.15825
1192	-22.53225	-16.34825	-28.71525
1193	-25.87225	-19.70225	-32.04125
1194	-27.29625	-21.15925	-33.43425
1195	-30.15625	-23.96825	-36.34525
1196	-34.27325	-28.11125	-40.43525
1197	-37.91225	-31.72825	-44.09625
1198	-39.84525	-33.68925	-46.00125
1199	-41.16625	-35.00125	-47.33125
1200	-42.45825	-36.30025	-48.61625
1201	-42.58025	-36.41825	-48.74125
1202	-42.17225	-35.98225	-48.36225
1203	-39.43425	-33.26425	-45.60425
1204	-37.54025	-31.36025	-43.72025
1205	-37.59525	-31.40825	-43.78125
1206	-36.42825	-30.23125	-42.62425
1207	-35.34825	-29.15725	-41.53925
1208	-37.60825	-31.38625	-43.82925
1209	-36.79825	-30.61825	-42.97925
1210	-35.75325	-29.59625	-41.90925
1211	-35.06125	-28.89725	-41.22525
1212	-35.31425	-29.09825	-41.52925
1213	-39.94625	-33.72625	-46.16625
1214	-43.35525	-37.13125	-49.57825
1215	-48.91025	-42.72025	-55.10025
1216	-48.02825	-41.80525	-54.25025
1217	-42.42225	-36.17925	-48.66525
1218	-32.36025	-26.10725	-38.61325
1219	-22.25725	-15.97225	-28.54125
1220	-7.90925	-1.68025	-14.13925
1221	-2.28425	4.00275	-8.57025
1222	3.15675	9.39875	-3.08525
1223	5.07075	11.35475	-1.21425
1224	5.84575	12.11975	-0.42725
1225	6.23275	12.48475	-0.01925
1226	6.93675	13.15975	0.71375
1227	7.78175	13.98775	1.57575
1228	8.55775	14.75675	2.35975
1229	9.20675	15.39775	3.01575
1230	10.41675	16.58575	4.24875
1231	11.29875	17.46775	5.12975
1232	12.55375	18.71375	6.39275
1233	13.63075	19.78875	7.47375
1234	14.46775	20.64775	8.28775
1235	15.17475	21.37775	8.97175
1236	16.02475	22.24575	9.80375
1237	16.76775	22.99875	10.53675
1238	17.48875	23.72875	11.24875
1239	17.74475	23.98475	11.50475
1240	16.41175	22.64375	10.18075
1241	11.14875	17.35375	4.94375
1242	4.58075	10.79075	-1.62925
1243	-6.83825	-0.50725	-13.17025
1244	-24.55425	-18.17125	-30.93725
1245	-41.39025	-34.96325	-47.81725
1246	-52.70525	-46.43225	-58.97925
1247	-59.87925	-53.63625	-66.12225
1248	-66.88925	-60.72225	-73.05625
1249	-71.90425	-65.72025	-78.08825
1250	-71.21325	-65.04025	-77.38525
1251	-69.19825	-63.00225	-75.39325
1252	-64.51325	-58.26925	-70.75625
1253	-51.46525	-45.21525	-57.71525
1254	-40.34225	-33.99025	-46.69425
1255	-26.48625	-20.20125	-32.77125
1256	-17.54725	-11.35325	-23.74125
1257	-9.43125	-3.27625	-15.58525
1258	-6.37425	-0.20325	-12.54625
1259	-5.82425	0.33075	-11.97825
1260	-8.29025	-2.12225	-14.45825
1261	-9.57225	-3.41425	-15.73125
1262	-9.96925	-3.78225	-16.15625
1263	-8.79125	-2.61325	-14.96925
1264	-8.96625	-2.82425	-15.10825
1265	-14.18425	-7.99625	-20.37225
1266	-20.25125	-14.06625	-26.43625
1267	-27.43725	-21.22525	-33.64825
1268	-31.95025	-25.80925	-38.09225
1269	-31.33225	-25.16225	-37.50225
1270	-31.20325	-25.01925	-37.38625
1271	-28.42125	-22.23625	-34.60525
1272	-28.49525	-22.29225	-34.69825
1273	-28.16325	-21.99925	-34.32725
1274	-28.47525	-22.28225	-34.66725
1275	-24.09125	-17.93525	-30.24725
1276	-21.35325	-15.13425	-27.57125
1277	-16.81225	-10.63025	-22.99325
1278	-13.74125	-7.54125	-19.94225
1279	-12.66325	-6.47725	-18.85025
1280	-11.64625	-5.47725	-17.81525
1281	-12.05725	-5.87825	-18.23625
1282	-12.19625	-6.02725	-18.36625
1283	-14.27925	-8.08325	-20.47525
1284	-18.73625	-12.51925	-24.95225
1285	-24.16125	-17.95825	-30.36525
1286	-30.32425	-24.07925	-36.57025
1287	-38.41925	-32.23225	-44.60625
1288	-46.09725	-39.87325	-52.32025
1289	-50.09625	-43.91325	-56.27825
1290	-53.91425	-47.71525	-60.11225
1291	-56.94525	-50.78725	-63.10225
1292	-59.21425	-53.05225	-65.37525
1293	-58.40325	-52.26025	-64.54625
1294	-56.50025	-50.32525	-62.67425
1295	-56.94825	-50.77625	-63.12025
1296	-54.64425	-48.47125	-60.81725
1297	-50.54325	-44.37625	-56.70925
1298	-49.40625	-43.20925	-55.60325
1299	-45.97025	-39.80225	-52.13825
1300	-40.24325	-34.07425	-46.41325
1301	-35.46525	-29.29525	-41.63425
1302	-29.60225	-23.43725	-35.76825
1303	-28.15325	-21.96925	-34.33625
1304	-26.88225	-20.69225	-33.07225
1305	-25.68425	-19.55325	-31.81525
1306	-22.78225	-16.66125	-28.90325
1307	-21.29225	-15.12125	-27.46225
1308	-17.69825	-11.54725	-23.85025
1309	-15.19825	-8.97125	-21.42525
1310	-9.53625	-3.30025	-15.77225
1311	-5.03025	1.22075	-11.28025
1312	-1.45625	4.80275	-7.71625
1313	-1.76525	4.48175	-8.01325
1314	-2.94725	3.23975	-9.13325
1315	-4.92725	1.22675	-11.08125
1316	-8.11825	-1.95025	-14.28525
1317	-10.65925	-4.46225	-16.85725
1318	-14.94325	-8.73225	-21.15325
1319	-17.41725	-11.20425	-23.62925
1320	-17.46625	-11.30025	-23.63225
1321	-18.61325	-12.42925	-24.79825
1322	-18.16425	-12.01425	-24.31525
1323	-17.79325	-11.64325	-23.94425
1324	-17.80525	-11.62925	-23.98125
1325	-18.29925	-12.12625	-24.47225
1326	-18.66325	-12.49825	-24.82825
1327	-16.15325	-10.01125	-22.29525
1328	-12.06225	-5.92025	-18.20425
1329	-8.01225	-1.81825	-14.20725
1330	-2.65425	3.55475	-8.86425
1331	3.08575	9.25175	-3.08025
1332	7.24375	13.45975	1.02775
1333	11.13475	17.30075	4.96775
1334	13.25975	19.40375	7.11475
1335	14.06675	20.23675	7.89575
1336	15.10275	21.28475	8.92075
1337	16.58475	22.77675	10.39175
1338	15.39075	21.62175	9.15975
1339	13.17775	19.38175	6.97475
1340	7.04175	13.25775	0.82575
1341	0.86475	7.09175	-5.36225
1342	-5.89425	0.32675	-12.11525
1343	-10.89425	-4.70625	-17.08225
1344	-14.49625	-8.26925	-20.72425
1345	-12.67725	-6.39825	-18.95725
1346	-7.17825	-0.94625	-13.41025
1347	-0.59525	5.67075	-6.86025
1348	3.60675	9.85775	-2.64425
1349	6.62175	12.88775	0.35475
1350	8.74575	14.97175	2.51975
1351	10.83175	17.03075	4.63275
1352	13.10075	19.28475	6.91775
1353	14.58675	20.74275	8.42975
1354	16.61375	22.75375	10.47475
1355	18.49875	24.64075	12.35575
1356	20.40675	26.55175	14.26275
1357	22.53375	28.67875	16.38775
1358	24.55075	30.71175	18.38975
1359	26.10875	32.26975	19.94875
1360	28.32375	34.48975	22.15775
1361	30.49075	36.67375	24.30775
1362	32.12475	38.33575	25.91475
1363	32.92775	39.15775	26.69775
1364	32.70875	38.86375	26.55375
1365	30.73975	36.89475	24.58475
1366	31.10575	37.24175	24.97075
1367	30.27775	36.44875	24.10675
1368	29.73475	35.90975	23.56075
1369	28.81575	35.03975	22.59175
1370	28.66175	34.84775	22.47575
1371	27.74875	33.91575	21.58175
1372	26.51875	32.67575	20.36175
1373	25.13675	31.34275	18.93075
1374	21.60875	27.80475	15.41275
1375	13.79775	20.02875	7.56575
1376	5.22875	11.50775	-1.05025
1377	-6.52725	-0.30925	-12.74525
1378	-16.56825	-10.27825	-22.85825
1379	-20.93025	-14.71525	-27.14525
1380	-24.04325	-17.85525	-30.23125
1381	-24.95825	-18.78225	-31.13525
1382	-21.66125	-15.47125	-27.85125
1383	-17.47825	-11.28925	-23.66625
1384	-12.04725	-5.87525	-18.21925
1385	-4.62625	1.55175	-10.80525
1386	0.13675	6.30075	-6.02725
1387	5.59075	11.79775	-0.61625
1388	10.93575	17.12175	4.74875
1389	15.62275	21.82575	9.41975
1390	20.57975	26.79075	14.36975
1391	22.88775	29.06175	16.71475
1392	24.99075	31.19675	18.78475
1393	25.51475	31.72375	19.30475
1394	24.63675	30.83775	18.43475
1395	24.38675	30.55875	18.21475
1396	24.03475	30.19475	17.87575
1397	23.63275	29.76975	17.49475
1398	23.10475	29.24475	16.96575
1399	22.16375	28.30875	16.01975
1400	21.54775	27.70775	15.38775
1401	20.75175	26.92275	14.58075
1402	20.03375	26.21975	13.84675
1403	20.10775	26.29775	13.91775
1404	19.45975	25.66275	13.25675
1405	19.09275	25.31575	12.86975
1406	18.83475	25.06675	12.60275
1407	18.84475	25.09075	12.59775
1408	18.44875	24.72075	12.17675
1409	17.42675	23.71875	11.13475
1410	13.70375	20.03275	7.37475
1411	9.83475	16.12575	3.54475
1412	-0.36225	5.98175	-6.70525
1413	-12.62025	-6.26125	-18.98025
1414	-25.64825	-19.15025	-32.14725
1415	-32.90725	-26.64225	-39.17225
1416	-37.51625	-31.21825	-43.81325
1417	-33.49725	-27.25025	-39.74425
1418	-24.20525	-17.87025	-30.54125
1419	-11.11625	-4.75225	-17.48125
1420	4.63875	10.88375	-1.60525
1421	15.69875	22.02175	9.37575
1422	25.07175	31.34875	18.79475
1423	27.55675	33.90375	21.20875
1424	30.81375	37.09775	24.52975
1425	31.46575	37.74075	25.19175
1426	31.54875	37.80275	25.29375
1427	31.29875	37.54175	25.05575
1428	31.83675	38.06775	25.60575
1429	31.38175	37.61675	25.14575
1430	31.67175	37.89375	25.44975
1431	32.14375	38.33175	25.95575
1432	32.58375	38.74575	26.42175
1433	32.62175	38.77675	26.46775
1434	32.58275	38.73275	26.43275
1435	32.78375	38.93875	26.62875
1436	32.62675	38.78675	26.46675
1437	32.67775	38.84175	26.51375
1438	32.91875	39.08875	26.74875
1439	32.91375	39.09275	26.73475
1440	32.84175	39.02275	26.65975
1441	32.81775	38.99975	26.63675
1442	32.82775	39.02375	26.63275
1443	33.49775	39.68575	27.30875
1444	33.93775	40.12375	27.75175
1445	34.21775	40.40975	28.02675
1446	34.26875	40.47275	28.06375
1447	34.73675	40.94675	28.52675
1448	34.94775	41.17575	28.71875
1449	35.00275	41.25375	28.75275
1450	34.98875	41.23775	28.73975
1451	35.12875	41.36775	28.88975
1452	34.31175	40.54475	28.07775
1453	31.08175	37.28175	24.88275
1454	25.80175	32.04975	19.55475
1455	17.62775	23.86075	11.39475
1456	10.35775	16.59475	4.12075
1457	4.79675	10.98875	-1.39425
1458	1.31575	7.49375	-4.86325
1459	0.08175	6.24175	-6.07825
1460	-0.24725	5.90175	-6.39625
1461	-0.49325	5.67675	-6.66425
1462	1.35275	7.57375	-4.86825
1463	6.06775	12.25275	-0.11725
1464	12.97275	19.16475	6.78075
1465	19.19775	25.43375	12.96175
1466	26.04575	32.24375	19.84775
1467	28.92075	35.13875	22.70275
1468	32.02275	38.19875	25.84675
1469	32.82375	39.01175	26.63575
1470	34.21475	40.37375	28.05475
1471	35.38575	41.52075	29.25075
1472	35.68375	41.80975	29.55675
1473	36.49975	42.61775	30.38175
1474	36.93675	43.06875	30.80575
1475	38.24775	44.37775	32.11675
1476	39.17075	45.31175	33.02975
1477	39.56775	45.74475	33.39175
1478	40.14875	46.33675	33.95975
1479	41.02575	47.23875	34.81275
1480	41.92975	48.14675	35.71275
1481	43.28375	49.46675	37.10175
1482	44.51475	50.69975	38.32875
1483	43.21375	49.42075	37.00775
1484	42.32775	48.51875	36.13575
1485	41.95375	48.10875	35.79875
1486	40.62175	46.77975	34.46475
1487	39.77575	45.92775	33.62375
1488	38.59875	44.77075	32.42675
1489	37.72575	43.92675	31.52475
1490	36.10175	42.27675	29.92675
1491	33.21775	39.42475	27.01075
1492	28.35275	34.56575	22.13875
1493	20.78875	27.03575	14.54175
1494	10.99975	17.26275	4.73675
1495	1.21375	7.44575	-5.01825
1496	-6.08225	0.09475	-12.25925
1497	-14.62825	-8.39925	-20.85725
1498	-22.69825	-16.51925	-28.87725
1499	-30.08025	-23.86725	-36.29225
1500	-37.43525	-31.20825	-43.66125
1501	-42.39725	-36.20925	-48.58425
1502	-47.28825	-41.10825	-53.46725
1503	-48.19625	-42.02425	-54.36925
1504	-50.22525	-44.05225	-56.39925
1505	-48.98225	-42.80025	-55.16425
1506	-45.63425	-39.44025	-51.82725
1507	-41.99625	-35.80025	-48.19225
1508	-37.66525	-31.50625	-43.82325
1509	-35.70725	-29.52725	-41.88625
1510	-29.80225	-23.60425	-36.00125
1511	-23.76225	-17.59325	-29.93125
1512	-20.90625	-14.69925	-27.11325
1513	-14.67925	-8.49325	-20.86525
1514	-9.29425	-3.13125	-15.45625
1515	-5.32225	0.91775	-11.56225
1516	1.61575	7.77875	-4.54825
1517	2.96875	9.19375	-3.25625
1518	3.19775	9.39875	-3.00225
1519	1.57475	7.76275	-4.61425
1520	-0.86325	5.31675	-7.04325
1521	1.51375	7.68475	-4.65625
1522	4.68875	10.84175	-1.46525
1523	5.99675	12.15875	-0.16425
1524	7.95875	14.14075	1.77775
1525	4.23375	10.40875	-1.94125
1526	1.38275	7.54575	-4.78025
1527	-0.88725	5.27875	-7.05325
1528	0.15275	6.34875	-6.04225
1529	0.40175	6.59675	-5.79325
1530	3.02175	9.16675	-3.12425
1531	2.90375	9.06675	-3.25925
1532	1.76475	7.89775	-4.36725
1533	-3.21425	2.97775	-9.40525
1534	-3.81125	2.39875	-10.02125
1535	-5.33625	0.81975	-11.49325
1536	-6.41725	-0.27025	-12.56525
1537	-6.12225	0.01275	-12.25825
1538	-8.30325	-2.14125	-14.46425
1539	-10.21325	-4.04625	-16.38025
1540	-9.00925	-2.85625	-15.16125
1541	-8.76725	-2.60425	-14.93025
1542	-6.40125	-0.21625	-12.58725
1543	-2.29725	3.87475	-8.46825
1544	2.47975	8.67775	-3.71825
1545	9.15875	15.30675	3.01175
1546	12.83175	18.99475	6.66775
1547	15.08375	21.24375	8.92375
1548	17.96275	24.14775	11.77675
1549	17.54275	23.71975	11.36675
1550	17.39875	23.55475	11.24275
1551	14.62575	20.80275	8.44975
1552	10.67175	16.85675	4.48575
1553	6.74375	12.95075	0.53675
1554	0.93375	7.17775	-5.31125
