 -405600.0     5.329
 -405500.0     5.250
 -405400.0     5.199
 -405300.0     5.149
 -405200.0     5.098
 -405100.0     5.047
 -405000.0     4.997
 -404900.0     4.946
 -404800.0     4.895
 -404700.0     4.845
 -404600.0     4.794
 -404500.0     4.743
 -404400.0     4.693
 -404300.0     4.642
 -404200.0     4.591
 -404100.0     4.541
 -404000.0     4.490
 -403900.0     4.556
 -403800.0     4.622
 -403700.0     4.688
 -403600.0     4.754
 -403500.0     4.820
 -403400.0     4.886
 -403300.0     4.952
 -403200.0     5.018
 -403100.0     5.084
 -403000.0     5.150
 -402900.0     5.216
 -402800.0     5.282
 -402700.0     5.348
 -402600.0     5.414
 -402500.0     5.480
 -402400.0     5.545
 -402300.0     5.611
 -402200.0     5.676
 -402100.0     5.741
 -402000.0     5.807
 -401900.0     5.872
 -401800.0     5.937
 -401700.0     6.003
 -401600.0     6.068
 -401500.0     6.133
 -401400.0     6.199
 -401300.0     6.264
 -401200.0     6.329
 -401100.0     6.395
 -401000.0     6.460
 -400900.0     6.330
 -400800.0     6.200
 -400700.0     6.070
 -400600.0     5.940
 -400500.0     5.810
 -400400.0     5.680
 -400300.0     5.550
 -400200.0     5.420
 -400100.0     5.290
 -400000.0     5.160
 -399900.0     5.030
 -399800.0     4.900
 -399700.0     4.770
 -399600.0     4.640
 -399500.0     4.510
 -399400.0     4.381
 -399300.0     4.251
 -399200.0     4.122
 -399100.0     3.993
 -399000.0     3.863
 -398900.0     3.734
 -398800.0     3.605
 -398700.0     3.475
 -398600.0     3.346
 -398500.0     3.217
 -398400.0     3.087
 -398300.0     2.958
 -398200.0     2.829
 -398100.0     2.699
 -398000.0     2.570
 -397900.0     2.440
 -397800.0     2.310
 -397700.0     2.180
 -397600.0     2.050
 -397500.0     1.920
 -397400.0     1.790
 -397300.0     1.660
 -397200.0     1.530
 -397100.0     1.400
 -397000.0     1.270
 -396900.0     1.140
 -396800.0     1.010
 -396700.0     0.880
 -396600.0     0.750
 -396500.0     0.620
 -396400.0     0.494
 -396300.0     0.368
 -396200.0     0.242
 -396100.0     0.116
 -396000.0    -0.010
 -395900.0    -0.136
 -395800.0    -0.262
 -395700.0    -0.388
 -395600.0    -0.514
 -395500.0    -0.640
 -395400.0    -0.766
 -395300.0    -0.892
 -395200.0    -1.018
 -395100.0    -1.144
 -395000.0    -1.270
 -394900.0    -1.387
 -394800.0    -1.503
 -394700.0    -1.620
 -394600.0    -1.737
 -394500.0    -1.853
 -394400.0    -1.970
 -394300.0    -2.087
 -394200.0    -2.203
 -394100.0    -2.320
 -394000.0    -2.437
 -393900.0    -2.553
 -393800.0    -2.670
 -393700.0    -2.787
 -393600.0    -2.903
 -393500.0    -3.020
 -393400.0    -3.137
 -393300.0    -3.255
 -393200.0    -3.372
 -393100.0    -3.489
 -393000.0    -3.607
 -392900.0    -3.724
 -392800.0    -3.841
 -392700.0    -3.959
 -392600.0    -4.076
 -392500.0    -4.193
 -392400.0    -4.311
 -392300.0    -4.428
 -392200.0    -4.545
 -392100.0    -4.663
 -392000.0    -4.780
 -391900.0    -4.897
 -391800.0    -5.015
 -391700.0    -5.132
 -391600.0    -5.249
 -391500.0    -5.367
 -391400.0    -5.484
 -391300.0    -5.601
 -391200.0    -5.719
 -391100.0    -5.836
 -391000.0    -5.953
 -390900.0    -6.071
 -390800.0    -6.188
 -390700.0    -6.305
 -390600.0    -6.423
 -390500.0    -6.540
 -390400.0    -6.515
 -390300.0    -6.489
 -390200.0    -6.464
 -390100.0    -6.439
 -390000.0    -6.413
 -389900.0    -6.388
 -389800.0    -6.363
 -389700.0    -6.337
 -389600.0    -6.312
 -389500.0    -6.287
 -389400.0    -6.261
 -389300.0    -6.236
 -389200.0    -6.211
 -389100.0    -6.185
 -389000.0    -6.160
 -388900.0    -6.411
 -388800.0    -6.661
 -388700.0    -6.912
 -388600.0    -7.163
