A: Chronology for the Red Sea relative sea-level (RSL) record. where 0-150 ka BP is from Grant et al.. 2012 and 151-500 ka BP is from the present study.										
B: Red Sea RSL datapoints (in metres)										
C: Chronology for the probabilistic RSL record (in kiloyears)										
D: Lower bound of the 95% probability interval for the RSL data										
E: Upper bound of the 95% probability interval for the RSL data										
F: Probability maximum for the RSL data										
G: Lower bound of the 95% probability interval for the probability maximum										
H: Upper bound of the 95% probability interval for the probability maximum										
I: Probability maximum for the first-order time derivative (dRSL) of the RSL data (in metres per kiloyear)										
J: Lower bound of the 95% probability interval for dRSL										
K: Upper bound of the 95% probability interval for dRSL										
										
										
Age_kaBP	RSL datapoints_m	time_kyr	RSL_95low_m	RSL_95high_m	RSL_Pmax_m	RSL_Pmax95high_m	RSL_Pmax95low_m	dRSL_Pmax_m/kyr	dRSL_Pmax95low_m/kyr	dRSL_Pmax95high_m/kyr
3.458	2.367	7	-19.447	8.409	-6.806	-3.728	-9.883	14.71	7.967	21.453
3.461	1.467	7.125	-27.081	4.695	-9.281	-6.172	-12.389	15.711	8.966	22.455
3.484	-12.853	7.25	-33.416	-0.894	-12.11	-9.006	-15.213	12.89	6.131	19.649
3.553	12.697	7.375	-33.494	-4.425	-14.079	-10.985	-17.173	8.145	1.38	14.91
3.637	-7.553	7.5	-33.343	-1.648	-14.856	-11.754	-17.958	4.341	-2.419	11.102
3.694	-0.643	7.625	-33.114	0.783	-15.098	-11.973	-18.224	2.467	-4.291	9.225
3.739	0.987	7.75	-32.781	0.599	-15.512	-12.389	-18.635	1.482	-5.271	8.236
3.836	0.407	7.875	-31.24	-0.765	-16.259	-13.159	-19.36	0.77	-5.98	7.519
3.892	-9.093	8	-32.847	-1.077	-17.07	-13.97	-20.17	1.046	-5.71	7.801
3.977	-1.003	8.125	-32.602	-1.395	-17.633	-14.532	-20.734	2.826	-3.93	9.583
3.993	-9.803	8.25	-32.072	2.184	-18.012	-14.898	-21.125	5.156	-1.599	11.911
