I: Sosdian and Rosenthal chronology (ky)
J: Sosdian and Rosenthal SL (m)

t S&R	SL S&R
1783.6	-53.2
1785.6	-9.7
1787.6	-25.4
1790.5	-47.5
1794.1	-12.8
1798.3	5.3
1802.8	-85.3
1807.4	-29.1
1811.7	1.9
1817.4	-39.8
1833.3	7.6
1841.6	-20.8
1848.4	-6.4
1854.7	4.3
1860.8	-43.9
1866.9	-19.3
1872.6	-53.8
1879.2	-73.2
1885.0	-38.2
1890.2	-29.1
1896.5	-17.1
1901.2	-59.3
1906.1	-45.3
1910.6	-66.0
1914.7	-19.9
1928.3	-87.1
1931.0	-110.0
1936.1	-93.9
1940.5	-94.6
1944.9	-58.7
1947.1	-75.3
1949.3	-20.3
1951.5	-30.5
1953.9	-43.4
1956.5	-95.4
1959.3	-37.4
1962.3	-11.0
1965.3	-34.6
1968.3	-18.0
1971.4	-24.2
1975.0	-41.1
1978.7	-3.5
1986.3	-18.3
1989.6	6.7
1992.5	-61.1
1995.2	-28.1
2000.1	10.7
2009.7	-15.5
2012.6	-54.0
2014.1	-44.0
2016.8	-53.2
2018.3	-23.4
2019.7	-0.9
2021.1	22.7
2022.6	-41.3
2024.5	-17.7
2026.6	-8.1
2028.4	-34.9
2035.2	-3.2
2037.5	-48.5
2040.0	-83.1
2045.2	-38.1
2047.8	-57.3
2050.4	-41.8
2066.2	-68.7
2069.2	-38.0
2072.2	-43.6
2075.1	-14.1
2078.3	-17.4
2081.2	-3.1
2084.2	-48.6
2087.2	-29.5
2089.7	-12.9
2095.9	-22.9
2102.0	-22.7
2105.0	19.8
2108.1	-15.0
2111.2	25.4
2114.2	-16.1
2117.4	-8.1
2120.6	-26.0
2136.2	24.4
2144.1	-33.1
2148.1	-25.4
2151.8	-41.4
2161.2	-35.6
2164.5	4.3
2209.8	-13.9
2213.4	-8.5
2220.2	11.5
2223.3	-4.7
2225.7	-16.0
2228.2	-3.1
2230.9	-14.2
2233.3	-32.6
2236.5	-3.7
2241.7	1.0
2253.4	-30.4
2261.5	11.8
2265.0	19.0
2272.1	-28.2
2279.1	-41.9
2282.6	-12.3
2286.1	2.6
2289.7	26.0
2293.0	-14.8
2296.4	-4.1
2299.7	-10.7
2303.1	-3.7
2306.5	-22.1
2309.9	-32.9
2316.6	1.3
2320.0	-22.6
2323.4	-35.8
2326.8	22.5
2333.8	32.3
2340.5	-19.1
2343.4	12.4
2346.1	8.0
2349.5	-31.2
2355.1	-12.8
2358.4	-18.4
2361.4	1.9
2364.4	17.6
2367.2	-3.8
2370.4	0.1
2373.5	-1.9
2377.3	-1.1
2380.3	-2.3
2383.5	-7.0
2386.8	-27.2
2389.7	-6.5
2392.6	-28.5
2394.9	-23.5
2423.5	18.7
2426.6	-49.6
2429.2	1.0
2431.8	-46.2
2434.4	-82.8
2437.3	-51.5
2440.2	-11.5
2443.1	-7.5
2445.9	-16.1
2448.7	27.7
2451.5	8.9
2454.7	-40.2
2466.0	16.2
2469.9	-6.4
2473.8	-54.2
2477.4	-1.4
2480.5	-35.2
2483.4	-123.6
2486.3	-26.8
2489.1	-50.4
2492.0	-18.0
2508.3	-69.6
2512.5	-21.8
2516.5	-57.1
2520.1	-48.1
2523.1	-54.5
2526.1	-48.3
2529.9	-40.1
2533.3	-20.0
2537.8	-28.2
2542.5	-37.2
2547.2	-28.2
2556.6	-15.7
2560.6	35.4
2565.0	-14.3
2567.5	-37.8
2576.2	-21.9
2579.1	28.1
2582.1	-21.6
2585.0	5.8
2587.8	-31.1
2590.9	-2.5
2593.1	-44.4
2595.7	-27.9
2601.8	-36.7
2609.2	-13.5
2612.1	-68.3
2615.7	21.3
2665.9	19.9
2680.0	26.0
2683.8	-18.2
2689.3	-43.5
2696.0	0.7
2698.3	9.6
2701.0	31.4
2704.0	4.4
2713.2	-35.8
2715.8	-32.1
2718.6	-39.0
2721.4	-51.2
2724.7	-47.3
2728.0	-67.3
2731.9	-83.9
2736.5	-82.0
2739.1	-37.6
2744.8	-29.3
2751.4	-46.0
2771.2	-19.8
2774.6	-51.0
