K: Elderfield et al. chronology (ky)
L: Elderfield et al. SL probability maximum (m; shifted so mean of last three ky = 0)
M: Elderfield et al. upper bound of 95% probability interval for SL probability maximum (m)
N: Elderfield et al. lower bound of 95% probability interval for SL probability maximum (m)

t Elderfield	PM	PMtop95%	PMbot95%
1.22E+03	-23.287	-9.703	-36.871
1.22E+03	-18.068	-4.371	-31.766
1.22E+03	-11.954	1.833	-25.742
1.22E+03	-4.575	9.265	-18.415
1.22E+03	3.966	17.748	-9.817
1.22E+03	12.073	25.698	-1.552
1.22E+03	17.856	31.314	4.398
1.22E+03	21.633	35.151	8.115
1.23E+03	25.555	39.155	11.956
1.23E+03	30.472	44.064	16.88
1.23E+03	34.388	48.029	20.747
1.23E+03	34.764	48.468	21.059
1.23E+03	31.176	44.914	17.437
1.23E+03	24.963	38.724	11.201
1.23E+03	17.392	31.189	3.595
1.23E+03	9.18	23.009	-4.65
1.23E+03	1.597	15.53	-12.335
1.23E+03	-3.667	10.097	-17.431
1.24E+03	-6.283	7.424	-19.99
1.24E+03	-7.295	6.312	-20.902
1.24E+03	-7.718	5.855	-21.292
1.24E+03	-8.077	5.431	-21.585
1.24E+03	-8.356	5.15	-21.863
1.24E+03	-8.386	5.107	-21.878
1.24E+03	-9.403	4.154	-22.961
1.24E+03	-14.207	-0.544	-27.87
1.24E+03	-24.297	-10.524	-38.07
1.24E+03	-37.69	-23.842	-51.538
1.25E+03	-50.167	-36.207	-64.127
1.25E+03	-58.447	-44.719	-72.175
1.25E+03	-62.197	-48.638	-75.757
1.25E+03	-62.874	-49.506	-76.242
1.25E+03	-61.086	-47.724	-74.448
1.25E+03	-56.578	-43.035	-70.121
1.25E+03	-50.502	-36.983	-64.021
1.25E+03	-45.241	-31.729	-58.753
1.25E+03	-41.654	-28.111	-55.196
1.25E+03	-38.727	-25.179	-52.274
1.26E+03	-35.678	-22.131	-49.225
1.26E+03	-31.999	-18.435	-45.563
1.26E+03	-26.691	-13.083	-40.299
1.26E+03	-19.872	-6.189	-33.555
1.26E+03	-13.398	0.232	-27.028
1.26E+03	-8.962	4.643	-22.568
1.26E+03	-6.967	6.634	-20.568
1.26E+03	-6.719	6.881	-20.318
1.26E+03	-7.333	6.349	-21.015
1.26E+03	-8.383	5.234	-22
1.27E+03	-8.58	4.996	-22.156
1.27E+03	-5.675	7.998	-19.347
1.27E+03	0.358	13.887	-13.171
1.27E+03	6.37	19.845	-7.105
1.27E+03	9.389	22.805	-4.027
1.27E+03	9.279	22.621	-4.064
1.27E+03	7.88	21.258	-5.499
1.27E+03	6.778	20.223	-6.666
1.27E+03	6.502	20.043	-7.04
1.27E+03	7.147	20.591	-6.297
1.28E+03	8.806	22.194	-4.582
1.28E+03	11.201	24.612	-2.21
1.28E+03	13.507	26.968	0.047
1.28E+03	14.637	28.079	1.194
1.28E+03	13.483	26.996	-0.03
1.28E+03	9.846	23.488	-3.795
1.28E+03	5.576	19.226	-8.074
1.28E+03	3.068	16.642	-10.505
1.28E+03	2.081	15.553	-11.392
1.28E+03	-0.5	12.928	-13.927
1.29E+03	-7.68	5.766	-21.125
1.29E+03	-19.524	-6.027	-33.02
1.29E+03	-32.355	-18.849	-45.862
1.29E+03	-41.209	-27.791	-54.627
1.29E+03	-44.125	-30.663	-57.587
1.29E+03	-43.311	-29.813	-56.81
1.29E+03	-41.664	-28.232	-55.095
1.29E+03	-39.872	-26.46	-53.284
1.29E+03	-37.588	-24.135	-51.04
1.29E+03	-34.913	-21.44	-48.385
1.30E+03	-31.454	-17.96	-44.949
1.30E+03	-25.687	-12.147	-39.227
1.30E+03	-16.506	-2.869	-30.143
1.30E+03	-5.33	8.21	-18.87
1.30E+03	3.937	17.503	-9.628
1.30E+03	8.325	21.851	-5.2
1.30E+03	8.841	22.344	-4.661
1.30E+03	8.582	22.084	-4.92
1.30E+03	8.995	22.453	-4.463
1.30E+03	9.721	23.311	-3.869
1.31E+03	10.384	23.999	-3.232
1.31E+03	11.074	24.805	-2.658
1.31E+03	12.1	25.769	-1.568
1.31E+03	12.946	26.465	-0.573
1.31E+03	12.463	26.05	-1.124
1.31E+03	11.143	24.762	-2.475
1.31E+03	10.423	24.151	-3.304
1.31E+03	10.335	24.064	-3.394
1.31E+03	10.2	23.963	-3.563
1.31E+03	9.825	23.651	-4.001
1.32E+03	9.346	23.105	-4.413
1.32E+03	8.865	22.551	-4.822
1.32E+03	8.143	21.756	-5.471
1.32E+03	6.733	20.402	-6.936
1.32E+03	4.365	17.98	-9.25
1.32E+03	1.094	14.738	-12.55
1.32E+03	-2.58	11.018	-16.178
1.32E+03	-5.527	8.033	-19.087
1.32E+03	-6.635	6.843	-20.114
1.32E+03	-6.01	7.393	-19.413
1.33E+03	-4.561	8.807	-17.928
1.33E+03	-2.376	11.058	-15.809
1.33E+03	1.242	14.918	-12.435
1.33E+03	6.376	20.174	-7.423
1.33E+03	12.066	25.849	-1.717
1.33E+03	16.627	30.423	2.83
1.33E+03	18.04	31.707	4.373
1.33E+03	15.158	28.662	1.655
1.33E+03	8.53	22.098	-5.037
1.33E+03	0.411	13.985	-13.163
1.34E+03	-5.168	8.419	-18.755
1.34E+03	-4.636	9.121	-18.392
1.34E+03	1.71	15.563	-12.142
1.34E+03	10.016	23.836	-3.804
1.34E+03	16.218	29.982	2.454
1.34E+03	18.327	31.972	4.682
1.34E+03	15.725	29.418	2.032
1.34E+03	8.362	21.978	-5.254
1.34E+03	-1.869	11.75	-15.489
1.34E+03	-11.531	2.112	-25.175
1.35E+03	-18.197	-4.597	-31.798
1.35E+03	-20.839	-7.256	-34.421
1.35E+03	-19.2	-5.552	-32.848
1.35E+03	-13.915	-0.18	-27.65
1.35E+03	-6.646	7.051	-20.344
1.35E+03	0.047	13.755	-13.661
1.35E+03	4	17.655	-9.655
1.35E+03	5.254	19.05	-8.542
1.35E+03	6.253	20.035	-7.529
1.35E+03	9.411	23.219	-4.397
1.36E+03	14.682	28.378	0.987
1.36E+03	19.803	33.356	6.25
1.36E+03	22.241	35.77	8.712
1.36E+03	21.594	35.152	8.037
1.36E+03	20.116	33.833	6.399
1.36E+03	20.036	33.749	6.323
1.36E+03	21.017	34.721	7.313
1.36E+03	20.404	33.968	6.84
1.36E+03	15.923	29.467	2.378
1.36E+03	7.924	21.493	-5.644
1.37E+03	-1.535	12.219	-15.288
1.37E+03	-10.309	3.27	-23.888
1.37E+03	-16.095	-2.401	-29.789
1.37E+03	-17.364	-3.786	-30.942
1.37E+03	-15.215	-1.689	-28.741
1.37E+03	-11.971	1.592	-25.533
1.37E+03	-7.872	5.815	-21.559
1.37E+03	-1.143	12.69	-14.976
1.37E+03	8.987	22.952	-4.977
1.37E+03	20.974	35.033	6.915
1.38E+03	32.287	46.218	18.356
1.38E+03	39.941	53.68	26.202
1.38E+03	40.658	54.385	26.932
1.38E+03	33.591	47.36	19.821
1.38E+03	22.479	36.448	8.51
1.38E+03	13.028	26.876	-0.821
1.38E+03	8.328	22.062	-5.406
1.38E+03	7.964	21.466	-5.539
1.38E+03	9.963	23.378	-3.451
1.38E+03	12.206	25.599	-1.187
1.39E+03	13.36	26.844	-0.125
1.39E+03	13.435	26.992	-0.121
1.39E+03	13.27	26.822	-0.281
1.39E+03	13.045	26.616	-0.526
1.39E+03	11.143	24.751	-2.465
1.39E+03	5.176	18.9	-8.549
1.39E+03	-4.945	8.902	-18.792
1.39E+03	-14.347	-0.303	-28.391
1.39E+03	-15.558	-1.482	-29.634
1.39E+03	-5.804	8.031	-19.639
1.40E+03	9.298	22.98	-4.384
1.40E+03	21.455	34.973	7.938
1.40E+03	27.65	41.071	14.229
1.40E+03	30.338	43.722	16.955
1.40E+03	32.24	45.576	18.904
1.40E+03	33.366	46.671	20.062
1.40E+03	32.642	46.03	19.254
1.40E+03	30.66	44.174	17.146
1.40E+03	29.03	42.596	15.464
1.40E+03	27.953	41.526	14.379
1.41E+03	26.625	40.157	13.093
1.41E+03	25.41	39.039	11.781
1.41E+03	25.727	39.36	12.095
1.41E+03	27.57	41.191	13.948
1.41E+03	28.741	42.443	15.04
1.41E+03	27.646	41.337	13.955
1.41E+03	25.518	39.182	11.854
1.41E+03	24.406	38.015	10.797
1.41E+03	23.793	37.319	10.267
1.41E+03	21.113	34.616	7.61
1.42E+03	15.426	29.058	1.794
1.42E+03	9.154	22.905	-4.596
1.42E+03	5.419	19.185	-8.346
1.42E+03	4.023	17.699	-9.654
1.42E+03	1.381	15.023	-12.262
1.42E+03	-5.319	8.395	-19.032
1.42E+03	-14.698	-1.141	-28.256
1.42E+03	-22.574	-9.068	-36.08
1.42E+03	-25.97	-12.539	-39.401
1.42E+03	-24.702	-11.287	-38.117
1.43E+03	-21.43	-7.857	-35.004
1.43E+03	-20.082	-6.548	-33.617
1.43E+03	-21.935	-8.325	-35.546
1.43E+03	-25.294	-11.48	-39.107
1.43E+03	-28.723	-14.837	-42.608
1.43E+03	-32.197	-18.421	-45.974
1.43E+03	-36.171	-22.503	-49.84
1.43E+03	-40.086	-26.476	-53.697
1.43E+03	-42.127	-28.554	-55.7
1.43E+03	-41.546	-27.954	-55.139
1.44E+03	-39.636	-26.049	-53.222
1.44E+03	-37.247	-23.772	-50.723
1.44E+03	-34.1	-20.579	-47.62
1.44E+03	-30.418	-16.955	-43.882
1.44E+03	-26.145	-12.413	-39.877
1.44E+03	-20.618	-6.819	-34.417
1.44E+03	-15.477	-1.703	-29.25
1.44E+03	-14.242	-0.536	-27.949
1.44E+03	-17.611	-3.901	-31.321
1.44E+03	-23.08	-9.345	-36.815
1.45E+03	-28.536	-14.822	-42.251
1.45E+03	-32.281	-18.446	-46.116
1.45E+03	-31.835	-17.75	-45.921
1.45E+03	-26.528	-12.673	-40.383
1.45E+03	-19.791	-6.155	-33.427
1.45E+03	-16.662	-3.171	-30.153
1.45E+03	-19.202	-5.74	-32.663
1.45E+03	-25.477	-12.02	-38.934
1.45E+03	-32.438	-18.978	-45.899
1.45E+03	-38.157	-24.695	-51.619
1.46E+03	-41.864	-28.496	-55.232
1.46E+03	-43.563	-30.264	-56.862
1.46E+03	-43.334	-29.949	-56.72
1.46E+03	-40.711	-27.28	-54.142
1.46E+03	-35.709	-22.202	-49.216
1.46E+03	-29.795	-16.333	-43.257
1.46E+03	-25.26	-11.764	-38.755
1.46E+03	-24.303	-10.745	-37.862
1.46E+03	-28.086	-14.481	-41.691
1.46E+03	-35.305	-21.605	-49.005
1.47E+03	-42.108	-28.451	-55.764
1.47E+03	-45.453	-31.851	-59.056
1.47E+03	-45.322	-31.668	-58.975
1.47E+03	-41.813	-28.002	-55.624
1.47E+03	-34.118	-20.34	-47.895
1.47E+03	-23.573	-9.865	-37.282
1.47E+03	-13.542	0.012	-27.097
1.47E+03	-6.093	7.367	-19.554
1.47E+03	-0.919	12.627	-14.465
1.47E+03	3.08	16.529	-10.368
1.48E+03	6.549	20.016	-6.919
1.48E+03	9.966	23.447	-3.515
1.48E+03	13.64	27.211	0.069
1.48E+03	16.756	30.374	3.137
1.48E+03	17.701	31.262	4.139
1.48E+03	15.522	29.303	1.741
1.48E+03	11.043	24.875	-2.788
1.48E+03	6.929	20.618	-6.76
1.48E+03	5.175	18.746	-8.397
1.48E+03	4.668	18.209	-8.874
1.49E+03	2.298	15.976	-11.381
1.49E+03	-4.384	9.415	-18.184
1.49E+03	-15.395	-1.479	-29.311
1.49E+03	-27.642	-13.487	-41.798
1.49E+03	-37.521	-23.525	-51.517
1.49E+03	-44.54	-30.847	-58.234
1.49E+03	-49.785	-36.182	-63.388
1.49E+03	-53.246	-39.751	-66.742
1.49E+03	-55.115	-41.598	-68.632
1.49E+03	-56.967	-43.472	-70.461
1.50E+03	-59.908	-46.472	-73.345
1.50E+03	-62.96	-49.429	-76.491
1.50E+03	-64.316	-50.615	-78.016
1.50E+03	-62.867	-49.058	-76.676
1.50E+03	-58.256	-44.458	-72.054
1.50E+03	-51.547	-37.892	-65.201
1.50E+03	-45.08	-31.539	-58.621
1.50E+03	-40.169	-26.671	-53.668
1.50E+03	-36.641	-23.148	-50.133
1.50E+03	-34.637	-21.006	-48.269
1.51E+03	-34.984	-21.289	-48.678
1.51E+03	-37.956	-24.199	-51.713
1.51E+03	-43.07	-29.45	-56.691
1.51E+03	-49.488	-35.915	-63.061
1.51E+03	-55.308	-41.816	-68.8
1.51E+03	-58.204	-44.736	-71.671
1.51E+03	-57.855	-44.41	-71.301
1.51E+03	-55.935	-42.562	-69.308
1.51E+03	-54.178	-40.812	-67.543
1.51E+03	-53.963	-40.569	-67.358
1.52E+03	-56.398	-42.979	-69.817
1.52E+03	-61.297	-47.796	-74.799
1.52E+03	-66.63	-53.059	-80.202
1.52E+03	-69.947	-56.335	-83.558
1.52E+03	-70.069	-56.548	-83.59
1.52E+03	-67.282	-53.802	-80.762
1.52E+03	-62.905	-49.388	-76.421
1.52E+03	-58.849	-45.404	-72.295
1.52E+03	-56.346	-42.867	-69.825
1.52E+03	-54.588	-40.983	-68.192
1.53E+03	-51.825	-38.219	-65.431
1.53E+03	-47.536	-34.048	-61.023
1.53E+03	-42.707	-29.289	-56.126
1.53E+03	-38.994	-25.554	-52.434
1.53E+03	-37.517	-24.02	-51.013
1.53E+03	-37.76	-24.191	-51.329
1.53E+03	-38.37	-24.814	-51.926
1.53E+03	-38.991	-25.528	-52.454
1.53E+03	-40.39	-26.956	-53.825
1.53E+03	-43.018	-29.67	-56.366
1.54E+03	-46.115	-32.736	-59.495
1.54E+03	-48.711	-35.262	-62.161
1.54E+03	-50.922	-37.398	-64.446
1.54E+03	-54.102	-40.564	-67.641
1.54E+03	-60.764	-47.131	-74.396
1.54E+03	-72.347	-58.64	-86.054
1.54E+03	-84.847	-70.968	-98.726
1.54E+03	-90.256	-76.511	-104.001
1.54E+03	-85.142	-71.444	-98.839
1.54E+03	-74.207	-60.637	-87.778
1.55E+03	-63.84	-50.412	-77.267
1.55E+03	-56.073	-42.738	-69.409
1.55E+03	-50.112	-36.815	-63.409
1.55E+03	-45.171	-31.872	-58.47
1.55E+03	-40.304	-26.901	-53.707
1.55E+03	-34.777	-21.211	-48.342
1.55E+03	-29.301	-15.734	-42.867
1.55E+03	-25.928	-12.339	-39.516
1.55E+03	-26.763	-13.124	-40.402
1.55E+03	-31.349	-17.664	-45.034
1.56E+03	-35.927	-22.26	-49.593
1.56E+03	-37.636	-23.926	-51.346
1.56E+03	-37.467	-23.793	-51.141
1.56E+03	-37.682	-24.008	-51.357
1.56E+03	-38.712	-24.971	-52.454
1.56E+03	-39.637	-26.019	-53.255
1.56E+03	-39.843	-26.202	-53.485
1.56E+03	-38.825	-25.111	-52.54
1.56E+03	-35.952	-21.952	-49.952
1.56E+03	-31.773	-17.925	-45.621
1.57E+03	-28.191	-14.352	-42.031
1.57E+03	-27.062	-13.435	-40.689
1.57E+03	-29.326	-15.636	-43.017
1.57E+03	-34.449	-20.844	-48.053
1.57E+03	-40.175	-26.625	-53.724
1.57E+03	-44.474	-31.052	-57.897
1.57E+03	-47.321	-33.921	-60.721
1.57E+03	-49.209	-35.757	-62.661
1.57E+03	-50.058	-36.395	-63.721
1.57E+03	-50.14	-33.146	-67.133
